"Name_of_hotel_name","Name_of_hotel_address_name","Name_of_hotel_discounted_price","Name_of_hotel_discounted_price_url","Name_of_hotel_ratings"
"The Ritz Carlton Hong Kong","Intl. Commerce Centre, 1 Austin Rd West,","$587","https://www.hotels.com/travelads/trackredirect.html?trackingUrl=H4sIAAAAAAAAAD1PyY6rWBT7m9rwqpghlBS1mMKQQJhCCJvWZZ4hXOav73QvemPr2LJ8XEzTAH9RdBrBkjYggT91nyTlT9y3qPefxifQTceljFN0oVC1n9IG_m-JTRnXf33CcV12uQQmcBbb4Zt8NS-RjuTHVN7nKwMvIG6dWaOWR4gMwhE8gkffdjnDqu-UAy1zzVZgjkZYSgInlEjwDqr1WNH6ggkmUFgja9dN5_xBZAO0TL0ptjDZ3Lnc9nBSv8RunUdNnJdATy9he796mtaAu-uZF0Kl8dYhQ70DPthEe5M5T14BuxGpZTK0_AQud2oGSBaoSlKS3xmzTs2USzb3ZbeW7Lk8P72sL2RaUJRGUiH7lcIjYvMQtyTSxvD8NckdSs2CcOYzgxH4diuGIsbd3YTeIV0_I57LxIYyPwWmAO40mpCS9zLWcTYrK6PkpiMWpeUZYR5dpKbHpqWBMrZ7KT1uVJ62VXBwXGr1G0Qe2FsL2kAnCrP08IBCnDzAHHZATymf2H71efSAsTGTSFRc6Hvm5yZZ73Yg3-RCGArr6Mnnce8dW69CyZZQgaiVXVUwlGTajbXuC8tpr2RvEymuYLhh83SjI3Y3QaKnShlUw3KRIP32HRxBROblRNeH0bGz6AhlCip1CqCdifM7vCgQP21U-CQuoXKbPeAhYn9lBXnoRX3l5S5ql5Is6JXufaDkpiEbIp2gp2v6lN_X9o4SwC23FiNvU78ZI4NKDq3qZspZe2ii-mXETkZW2d6rt41DvAem-A6PpDo8v0at2H1v6BrIrUH6fQ6LmCEdC2gwoXgh70h-syw7nfCGx6qX827BdK2s4aYfpcY0h3hbY0zZlBOnNc-ApU0Tl6eIbht2EmlOeF1OU1J3Ma3wLunh1Kmiseq67SV_gpeAQ16Oqb0M843rS2UXJtUAbzQlrX2wdVYnYSXl9Q4KiNUdEjmer0WPJ2TetFxUOL-vQ2b13a7Pm7PZizmGOSE6993WZ0KKcKJ0Hqoih9EFA1Ml1j5ZvAgGn63dZc2WIWejBsfo4pa-5g-vcshjqiuR0OdqtoiJ0UHYwlrzmzFTMKZrTurB0eP23GBIXS1rEzPPUHE1aSdmtzfLFgxTbAZ-gKt4s3gW2TCiK0zlisFljbhRiW9bfbrVen_-GkFXn_GvKYWTn46w7Lv7ko5jmaRnkiXZH-wPRdHMD_6H4hj8c7E4Q32Iw_5FhuOIH-wrBl1SJmBK1VaZy-T8FaUg7jsNwjlNzgSGn75x7JvgPIz7pZlf7PQFm36CZ9V1_ua_hh6W06f3jP8DD-mOCM8EAAA.&targetUrl=H4sIAAAAAAAAAEWLuw7CIBRA_-ZupDy0uNy42NaYGB810bohkJRYoVL6_7Koy1nOOUUfhORSlsX6TXRv9ZOEOSGnbEUYI5RDfTxhCV_p_N8xuB4qXGZucJGLGMKL0By6wUTrkcKokEFSDzR20tGNyQUPu-05T79cmXlIE3LomhoF7JtLfu7tLe9tV6H4AMPe0kqiAAAA#rooms-and-rates-anchor","Exceptional 9.4"
"The Ritz Carlton Hong Kong","Kowloon,","$587","-''-","Exceptional 9.4"
"The Ritz Carlton Hong Kong","Hong Kong SAR China","$587","-''-","Exceptional 9.4"
"Hotel LBP","","$96","https://www.hotels.com/ho419449/?q-check-out=2018-11-02&FPQ=2&q-check-in=2018-11-01&WOE=5&WOD=4&q-room-0-children=0&pa=2&tab=description&JHR=1&q-room-0-adults=2&YGF=3&MGT=1&ZSX=0&SYE=3#rooms-and-rates-anchor","Fabulous 8.6"
"Butterfly on Victoria","33 King's Road, Causeway Bay,","","","Very Good 8.4"
"Butterfly on Victoria","Hong Kong,","","","Very Good 8.4"
"Butterfly on Victoria","Hong Kong SAR China","","","Very Good 8.4"
"Bishop Lei International House","4 Robinson Road,","","","Good 7.8"
"Bishop Lei International House","Mid Levels,","","","Good 7.8"
"Bishop Lei International House","Hong Kong,","","","Good 7.8"
"Bishop Lei International House","Hong Kong SAR China","","","Good 7.8"
"The Harbourview","4 Harbour Road,","","","Good 7.8"
"The Harbourview","Wanchai,","","","Good 7.8"
"The Harbourview","Hong Kong,","","","Good 7.8"
"The Harbourview","Hong Kong SAR China","","","Good 7.8"
"Travelodge Central,Hollywood Road","263 Hollywood Road, Tai Ping Shan,","","","Good 7.8"
"Travelodge Central,Hollywood Road","Central ,","","","Good 7.8"
"Travelodge Central,Hollywood Road","Hong Kong,","","","Good 7.8"
"Travelodge Central,Hollywood Road","HKG,","","","Good 7.8"
"Travelodge Central,Hollywood Road","Hong Kong SAR China","","","Good 7.8"
"pentahotel Hong Kong Tuen Mun","6 Tsun Wen Road,","$63","https://www.hotels.com/travelads/trackredirect.html?trackingUrl=H4sIAAAAAAAAAD1TyY6rSAD7m77kdVMsDaGlaMQaSCCENcBlxFJABQKEpVi-fnrmMBdbtmX55Gqa-vGHIKYhwbBJ8vGr7vIcfWXdi_D-84R8dOGAUQYJzBBaN8Fm_D-SGpTVf_2Wsxq1pZxMyUl69Z9On488sKYHhZs9JSngHmeRHeMFh_G1DcV4uZ_FhnDZS_-8Kh3NE5ZmrNfO0gJUxvZh21tDjssVp4iGQ8Bd71FF6uoVz5eQ7iZLl-nk_B6IodYpyz0aXeid5XxXZD6v7VALoul1WWRCS_SXLMCQrDqTk7Vr2tsveqY0qvcCjt6Knjej0YkV2lHXxH_SwXCbHpKiKqiwOVJqweugGcOS2zy-WkUk8L5d3JmVbfl2HcEQC3vKtlbhbU95U61Xq1XPm0sFoq9IkTdQkObOjZMRa6dWXSMjZiOqtHaokp4lE0CFbHU9Pq5rnZlgLh6FUqVqgbmIs6_3OtB3j_P5vH8kOUwlUd765F6I35XwpKtnnRPnHMyxRxfWpsrPPIJqqDdZIfksR-x1dYRHYL56FvqoHThPqah0Os_vEjV7hvbXaBOkBbfLsQLDDdvySGwzy9EaYyBXi99IXKrjZQtxyVBa0CvD_mBGX9jnITjvIvWE9uoWl9UrMvEse1jWmqSir7TH1DPVh24WosNEqvMFWfbrxlhur_eYG27IsJBSYkeKfaqLeh8tPTn0F3OurT1TASmYoRTvrmy7IVWwPAZCbIjqFDzzoN9tyDjmqj_J43wx_bMRFCJXBQvHKzU5zYYjyaV275xGSaqWZAoh4RfRvws9DYL2wY3L_GjMbjtz-jNdnLqL3v796j0nE6hAqpNUxqTrxr33-wHGZ5qbWlrSrViUYJt4N3VYCdo28BcEyfGdlESFzqP_ArU5OJVUediI6bM9h29F6Jn9oBDzfPk2dFi8XfZ9e0yp3i7s1YtGWvIubMIdeuI2Lkq5A6skQiJMebzZ3SJOiTXuYoDNhjjcc_hYzNXMp0QgKcgJ7nI1zIaMvPLAHkgxqYp6W438rdlGW8g-3tm7qfeRhTsa1XJ0mNxkyB6JNfvNcKPKZHup9I2hcMq_u8X3GlLHbu_gKwV8iaQ68H1gtFubYwLFc9UewCD4KHhERke0k6PG1cCWOQskBj_BFpKM7Bt0TIFjkTT71pEH-3T6GJK2PlEfExynAA4j6loLw2FAOTzRHM19gT8M881-kX8YniV_FUeyzC_x4F9keZ76Ah9Z0uYoTyaovc4zyk8fKUyyrtXHcYb5iQLk8ZMEnxTvAf7nm_0Bx4-x6abxpLnO3-JH341o-t09cf8ApKDwYdsEAAA.&targetUrl=H4sIAAAAAAAAAEWNyw6CMBQF_-buGvpAxcWNGwFjYnxgorCrbRMascVS_t9uDJuzmZmcrPfrIt9yke2-RPVGvYmfI3LKCsIYoRyqyxU5_KF1C2PwOJe4SrvHPBnB-w-hSbSDDsYhhVHiBqJ8oTaTCnaM1js4Hm7IFl3qeYhTumjrCgWc6nuiXfNMedOWKH4mqI6PogAAAA..#rooms-and-rates-anchor","Very Good 8.4"
"pentahotel Hong Kong Tuen Mun","Tuen Mun,","$63","-''-","Very Good 8.4"
"pentahotel Hong Kong Tuen Mun","Hong Kong SAR China","$63","-''-","Very Good 8.4"
